,0,1,2,3,4,5,6,7,8,9
2010-03-31,PARA,DHI,DFS,PKG,TPR,EXR,UAL,MHK,TSCO,SWK
2010-04-30,RCL,LEN,PARA,LULU,PHM,DHI,ULTA,URI,LYV,INCY
2010-05-31,ULTA,BLDR,LVS,MGM,LULU,LYV,TPR,RCL,DECK,DXCM
2010-06-30,INCY,URI,MGM,DECK,ULTA,BKNG,AES,MHK,PARA,FFIV
2010-07-30,INCY,MGM,MAS,PARA,MHK,TPR,LULU,AES,URI,DECK
2010-08-31,LVS,MGM,CMI,URI,LULU,BKR,MAS,MHK,DD,F
2010-09-30,LVS,LEN,PARA,BKR,MHK,MGM,LULU,BLDR,URI,PHM
2010-10-29,PARA,LVS,MGM,UAL,BLDR,MHK,BKR,LULU,MAS,ULTA
2010-11-30,MHK,MAS,LULU,ULTA,URI,BKR,F,PARA,BLDR,DECK
2010-12-31,BLDR,LEN,CMI,F,MHK,MAS,LULU,DECK,URI,PHM
2011-01-31,BLDR,LEN,MU,CMI,POOL,LVS,DECK,MHK,LULU,URI
2011-02-28,BLDR,LEN,MU,AIG,F,URI,MHK,LVS,DECK,LULU
2011-03-31,BLDR,NFLX,URI,LEN,TMUS,PHM,MU,LVS,MHK,LULU
2011-04-29,URI,TMUS,BLDR,LEN,LULU,INCY,LVS,NFLX,DECK,BWA
2011-05-31,BLDR,KMX,LEN,URI,CMI,FCX,TMUS,DECK,LVS,NFLX
2011-06-30,BLDR,URI,POOL,LEN,FCX,RCL,BWA,CMI,LOW,F
2011-07-29,BLDR,POOL,ROK,CMI,DECK,CAT,URI,LOW,WST,F
2011-08-31,BLDR,MOH,URI,LULU,EL,FCX,CAT,POOL,MHK,COF
2011-09-30,MOH,BLDR,LULU,MKTX,CTRA,J,VLO,CAT,TMUS,ROK
2011-10-31,MOH,BLDR,TSCO,URI,ODFL,MKTX,LOW,J,SMCI,HD
2011-11-30,BLDR,URI,TSCO,MKTX,ODFL,MOH,ROL,HD,LOW,MHK
2011-12-30,BLDR,URI,MOH,TSCO,GNRC,ROL,ODFL,SMCI,LULU,MLM
2012-01-31,BLDR,URI,MKTX,SMCI,ROL,ODFL,TDY,FITB,LULU,CSGP
2012-02-29,BLDR,URI,SMCI,MKTX,TDY,ROL,VMC,FITB,MAA,ODFL
2012-03-30,BLDR,MKTX,URI,ROL,SMCI,TDY,FITB,MAA,UDR,ODFL
2012-04-30,BLDR,MKTX,SMCI,ROL,URI,FITB,MAA,CPT,TDY,UDR
