,Adj Close,close,high,low,open,vol,pct_change,vwap
2014-07-31,,,,,,,,19.92
2014-08-01,,,,,,,,19.71
2014-08-04,,,,,,,,19.85
2014-08-05,,,,,,,,20.21
2014-08-06,,,,,,,,20.17
2014-08-07,,,,,,,,20.42
2014-08-08,,,,,,,,20.54
2014-08-11,,,,,,,,20.51
2014-08-12,,,,,,,,20.5
2014-08-13,,,,,,,,20.54
2014-08-14,,,,,,,,20.5
2014-08-15,,,,,,,,20.52
2014-08-18,,,,,,,,20.61
2014-08-19,,,,,,,,20.59
2014-08-20,,,,,,,,20.64
2014-08-21,,,,,,,,20.67
2014-08-22,,,,,,,,20.76
2014-08-25,,,,,,,,20.89
2014-08-26,,,,,,,,21.29
2014-08-27,,,,,,,,21.28
2014-08-28,,,,,,,,21.51
2014-08-29,,,,,,,,21.56
2014-09-02,,,,,,,,21.62
2014-09-03,,,,,,,,21.72
2014-09-04,,,,,,,,21.72
2014-09-05,,,,,,,,22.15
2014-09-08,,,,,,,,22.55
2014-09-09,,,,,,,,22.6
2014-09-10,,,,,,,,22.91
2014-09-11,,,,,,,,23.27
2014-09-12,,,,,,,,23.58
2014-09-15,,,,,,,,24.23
2014-09-16,,,,,,,,24.55
2014-09-17,,,,,,,,24.41
2014-09-18,,,,,,,,24.2
2014-09-19,,,,,,,,23.83
2014-09-22,,,,,,,,23.87
2014-09-23,,,,,,,,23.94
2014-09-24,,,,,,,,24.23
2014-09-25,,,,,,,,24.79
2014-09-26,,,,,,,,24.91
2014-09-29,,,,,,,,24.97
2014-09-30,,,,,,,,25.02
2014-10-01,,,,,,,,24.01
2014-10-02,,,,,,,,24.94
2014-10-03,,,,,,,,25.39
2014-10-06,,,,,,,,24.95
2014-10-07,,,,,,,,24.8
2014-10-08,,,,,,,,25.32
2014-10-09,,,,,,,,24.65
2014-10-10,,,,,,,,23.86
2014-10-13,,,,,,,,23.69
2014-10-14,,,,,,,,23.69
2014-10-15,,,,,,,,23.77
2014-10-16,,,,,,,,24.22
2014-10-17,,,,,,,,23.83
2014-10-20,,,,,,,,23.96
2014-10-21,,,,,,,,24.88
2014-10-22,,,,,,,,24.57
2014-10-23,,,,,,,,24.3
2014-10-24,,,,,,,,24.67
2014-10-27,,,,,,,,24.24
2014-10-28,,,,,,,,25.16
2014-10-29,,,,,,,,25.32
2014-10-30,,,,,,,,25.44
2014-10-31,,,,,,,,26.02
2014-11-03,,,,,,,,25.91
2014-11-04,,,,,,,,25.4
2014-11-05,,,,,,,,25.24
2014-11-06,,,,,,,,24.78
2014-11-07,,,,,,,,24.71
2014-11-10,,,,,,,,24.72
2014-11-11,,,,,,,,24.43
2014-11-12,,,,,,,,23.94
2014-11-13,,,,,,,,23.96
2014-11-14,,,,,,,,23.63
2014-11-17,,,,,,,,25.28
2014-11-18,,,,,,,,25.49
2014-11-19,,,,,,,,25.46
2014-11-20,,,,,,,,26.02
2014-11-21,,,,,,,,26.43
2014-11-24,,,,,,,,27.04
2014-11-25,,,,,,,,27.56
2014-11-26,,,,,,,,28.12
2014-11-28,,,,,,,,28.85
2014-12-01,,,,,,,,28.37
2014-12-02,,,,,,,,28.53
2014-12-03,,,,,,,,28.46
2014-12-04,,,,,,,,28.73
2014-12-05,,,,,,,,28.99
2014-12-08,,,,,,,,28.97
2014-12-09,,,,,,,,28.96
2014-12-10,,,,,,,,29.28
2014-12-11,,,,,,,,29.24
2014-12-12,,,,,,,,28.55
2014-12-15,,,,,,,,28.66
2014-12-16,,,,,,,,28.6
2014-12-17,,,,,,,,28.65
2014-12-18,,,,,,,,28.87
2014-12-19,,,,,,,,29.08
2014-12-22,,,,,,,,28.89
2014-12-23,,,,,,,,27.45
2014-12-24,,,,,,,,27.22
2014-12-26,,,,,,,,28.34
2014-12-29,,,,,,,,27.95
2014-12-30,,,,,,,,27.98
2014-12-31,,,,,,,,28.14
2015-01-02,,,,,,,,27.49
2015-01-05,,,,,,,,28.06
2015-01-06,,,,,,,,27.12
2015-01-07,,,,,,,,27.35
2015-01-08,,,,,,,,28.08
2015-01-09,,,,,,,,27.77
2015-01-12,,,,,,,,27.93
2015-01-13,,,,,,,,27.93
2015-01-14,,,,,,,,28.0
2015-01-15,,,,,,,,27.65
2015-01-16,,,,,,,,27.78
2015-01-20,,,,,,,,28.13
2015-01-21,,,,,,,,27.79
2015-01-22,,,,,,,,27.84
2015-01-23,,,,,,,,27.68
2015-01-26,,,,,,,,27.99
2015-01-27,,,,,,,,28.39
2015-01-28,,,,,,,,27.91
2015-01-29,,,,,,,,27.72
2015-01-30,,,,,,,,27.67
2015-02-02,,,,,,,,27.55
2015-02-03,,,,,,,,27.69
2015-02-04,,,,,,,,27.6
2015-02-05,,,,,,,,27.54
2015-02-06,,,,,,,,27.53
2015-02-09,,,,,,,,27.55
2015-02-10,,,,,,,,27.76
2015-02-11,,,,,,,,28.99
2015-02-12,,,,,,,,28.44
2015-02-13,,,,,,,,27.82
2015-02-17,,,,,,,,27.38
2015-02-18,,,,,,,,27.65
2015-02-19,,,,,,,,28.76
2015-02-20,,,,,,,,28.37
2015-02-23,,,,,,,,28.05
2015-02-24,,,,,,,,28.05
2015-02-25,,,,,,,,28.51
2015-02-26,,,,,,,,29.37
2015-02-27,,,,,,,,28.35
2015-03-02,,,,,,,,27.9
2015-03-03,,,,,,,,29.75
2015-03-04,,,,,,,,29.58
2015-03-05,,,,,,,,29.78
2015-03-06,,,,,,,,29.79
2015-03-09,,,,,,,,29.86
2015-03-10,,,,,,,,29.82
2015-03-11,,,,,,,,30.21
2015-03-12,,,,,,,,30.04
2015-03-13,,,,,,,,30.13
2015-03-16,,,,,,,,30.65
2015-03-17,,,,,,,,30.87
2015-03-18,,,,,,,,31.22
2015-03-19,,,,,,,,31.39
2015-03-20,,,,,,,,31.16
2015-03-23,,,,,,,,30.92
2015-03-24,,,,,,,,30.72
2015-03-25,,,,,,,,30.57
2015-03-26,,,,,,,,30.17
2015-03-27,,,,,,,,30.13
2015-03-30,,,,,,,,30.77
2015-03-31,,,,,,,,31.15
2015-04-01,,,,,,,,30.64
2015-04-02,,,,,,,,30.74
2015-04-06,,,,,,,,30.46
2015-04-07,,,,,,,,30.54
2015-04-08,,,,,,,,30.66
2015-04-09,,,,,,,,31.03
2015-04-10,,,,,,,,30.84
2015-04-13,,,,,,,,30.65
2015-04-14,,,,,,,,30.63
2015-04-15,,,,,,,,30.9
2015-04-16,,,,,,,,31.17
2015-04-17,,,,,,,,30.71
2015-04-20,,,,,,,,30.85
2015-04-21,,,,,,,,31.04
2015-04-22,,,,,,,,31.1
2015-04-23,,,,,,,,30.97
2015-04-24,,,,,,,,31.02
2015-04-27,,,,,,,,30.43
2015-04-28,,,,,,,,29.76
2015-04-29,,,,,,,,29.91
2015-04-30,,,,,,,,28.95
2015-05-01,,,,,,,,29.01
2015-05-04,,,,,,,,29.43
2015-05-05,,,,,,,,28.99
2015-05-06,,,,,,,,28.4
2015-05-07,,,,,,,,28.43
2015-05-08,,,,,,,,28.18
2015-05-11,,,,,,,,28.42
2015-05-12,,,,,,,,28.26
2015-05-13,,,,,,,,28.5
2015-05-14,,,,,,,,29.05
2015-05-15,,,,,,,,30.09
2015-05-18,,,,,,,,30.87
2015-05-19,,,,,,,,30.98
2015-05-20,,,,,,,,31.14
2015-05-21,,,,,,,,31.32
2015-05-22,,,,,,,,31.39
2015-05-26,,,,,,,,31.03
2015-05-27,,,,,,,,31.29
2015-05-28,,,,,,,,31.76
2015-05-29,,,,,,,,31.86
2015-06-01,,,,,,,,31.17
2015-06-02,,,,,,,,29.67
2015-06-03,,,,,,,,28.87
2015-06-04,,,,,,,,29.13
2015-06-05,,,,,,,,29.41
2015-06-08,,,,,,,,29.28
2015-06-09,,,,,,,,28.85
2015-06-10,,,,,,,,29.43
2015-06-11,,,,,,,,29.71
2015-06-12,,,,,,,,30.0
2015-06-15,,,,,,,,29.98
2015-06-16,,,,,,,,30.33
2015-06-17,,,,,,,,30.53
2015-06-18,,,,,,,,30.98
2015-06-19,,,,,,,,30.45
2015-06-22,,,,,,,,30.85
2015-06-23,,,,,,,,30.73
2015-06-24,,,,,,,,30.3
2015-06-25,,,,,,,,29.86
2015-06-26,,,,,,,,29.81
2015-06-29,,,,,,,,29.61
2015-06-30,,,,,,,,29.35
2015-07-01,,,,,,,,29.63
2015-07-02,,,,,,,,29.63
2015-07-06,,,,,,,,29.3
2015-07-07,,,,,,,,29.3
2015-07-08,,,,,,,,28.71
2015-07-09,,,,,,,,28.85
2015-07-10,,,,,,,,29.03
2015-07-13,,,,,,,,29.06
2015-07-14,,,,,,,,29.74
2015-07-15,,,,,,,,29.92
2015-07-16,,,,,,,,29.96
2015-07-17,,,,,,,,29.84
2015-07-20,,,,,,,,29.39
2015-07-21,,,,,,,,29.4
2015-07-22,,,,,,,,29.75
2015-07-23,,,,,,,,30.22
2015-07-24,,,,,,,,30.22
2015-07-27,,,,,,,,31.25
2015-07-28,,,,,,,,32.57
2015-07-29,,,,,,,,33.4
2015-07-30,,,,,,,,33.34
2015-07-31,,,,,,,,34.03
2015-08-03,,,,,,,,33.84
2015-08-04,,,,,,,,33.86
2015-08-05,,,,,,,,34.14
2015-08-06,,,,,,,,33.66
2015-08-07,,,,,,,,33.55
2015-08-10,,,,,,,,33.68
2015-08-11,,,,,,,,33.19
2015-08-12,,,,,,,,32.85
2015-08-13,,,,,,,,32.83
2015-08-14,,,,,,,,32.77
2015-08-17,,,,,,,,33.88
2015-08-18,,,,,,,,34.1
2015-08-19,,,,,,,,33.9
2015-08-20,,,,,,,,33.18
2015-08-21,,,,,,,,31.96
2015-08-24,,,,,,,,31.09
2015-08-25,,,,,,,,30.99
2015-08-26,,,,,,,,31.24
2015-08-27,,,,,,,,31.92
2015-08-28,,,,,,,,31.98
2015-08-31,,,,,,,,31.96
2015-09-01,,,,,,,,31.19
2015-09-02,,,,,,,,31.32
2015-09-03,,,,,,,,28.9
2015-09-04,,,,,,,,27.84
2015-09-08,,,,,,,,28.9
2015-09-09,,,,,,,,28.91
2015-09-10,,,,,,,,28.26
2015-09-11,,,,,,,,28.18
2015-09-14,,,,,,,,28.06
2015-09-15,,,,,,,,28.14
2015-09-16,,,,,,,,28.42
2015-09-17,,,,,,,,28.64
2015-09-18,,,,,,,,28.36
2015-09-21,,,,,,,,27.7
2015-09-22,,,,,,,,27.32
2015-09-23,,,,,,,,27.3
2015-09-24,,,,,,,,26.77
2015-09-25,,,,,,,,26.1
2015-09-28,,,,,,,,25.08
2015-09-29,,,,,,,,24.77
2015-09-30,,,,,,,,24.34
2015-10-01,,,,,,,,24.43
2015-10-02,,,,,,,,24.92
2015-10-05,,,,,,,,25.1
2015-10-06,,,,,,,,24.08
2015-10-07,,,,,,,,24.23
2015-10-08,,,,,,,,24.06
2015-10-09,,,,,,,,24.34
2015-10-12,,,,,,,,24.5
2015-10-13,,,,,,,,24.47
2015-10-14,,,,,,,,24.81
2015-10-15,,,,,,,,25.98
2015-10-16,,,,,,,,26.69
2015-10-19,,,,,,,,26.77
2015-10-20,,,,,,,,26.06
2015-10-21,,,,,,,,25.56
2015-10-22,,,,,,,,25.36
2015-10-23,,,,,,,,25.98
2015-10-26,,,,,,,,25.89
2015-10-27,,,,,,,,25.89
2015-10-28,,,,,,,,27.0
2015-10-29,,,,,,,,26.86
2015-10-30,,,,,,,,26.54
2015-11-02,,,,,,,,27.09
2015-11-03,,,,,,,,27.25
2015-11-04,,,,,,,,28.13
2015-11-05,,,,,,,,27.9
2015-11-06,,,,,,,,28.18
2015-11-09,,,,,,,,28.19
2015-11-10,,,,,,,,28.19
2015-11-11,,,,,,,,28.11
2015-11-12,,,,,,,,27.38
2015-11-13,,,,,,,,27.6
2015-11-16,,,,,,,,26.91
2015-11-17,,,,,,,,26.73
2015-11-18,,,,,,,,27.58
2015-11-19,,,,,,,,27.29
2015-11-20,,,,,,,,27.43
2015-11-23,,,,,,,,27.6
2015-11-24,,,,,,,,28.02
2015-11-25,,,,,,,,28.39
2015-11-27,,,,,,,,28.53
2015-11-30,,,,,,,,27.92
2015-12-01,,,,,,,,28.18
2015-12-02,,,,,,,,27.76
2015-12-03,,,,,,,,27.03
2015-12-04,,,,,,,,27.41
2015-12-07,,,,,,,,27.03
2015-12-08,,,,,,,,27.08
2015-12-09,,,,,,,,25.42
2015-12-10,,,,,,,,26.16
2015-12-11,,,,,,,,25.95
2015-12-14,,,,,,,,25.98
2015-12-15,,,,,,,,26.29
2015-12-16,,,,,,,,26.45
2015-12-17,,,,,,,,26.57
2015-12-18,,,,,,,,25.49
