,param,value,std_error,t_stat,p_value,significant,sector
0,alpha,0.4396956595585,54.2493585351314,0.008105084952732796,0.9935331486561296,False,intercept
1,lambda,-6.058363066623724,749.1073293207463,-0.008087443320194385,0.9935472241810297,False,garch_m
2,omega,0.005239965938467105,0.0003715351427132308,14.103553973928033,0.0,True,garch
