,param,value,std_error,t_stat,p_value,significant,sector
0,alpha,0.008401087045082052,0.15083419839481224,0.05569749522646051,0.9555827949266749,False,intercept
1,lambda,-0.1785912843292483,3.15691667229758,-0.056571428031792464,0.9548865952105208,False,garch_m
2,omega,0.0022742815446973835,2.234823687814749,0.0010176559149152463,0.999188028197429,False,garch
