,Test,Stat,p-value
0,Ljung-Box,11.084782832300485,0.9439941381936916
1,ARCH,16.147753467478523,0.7074165819197206
2,Shapiro-Wilk,0.96174734104589,7.559122092954142e-08
3,Jarque-Bera,156.16845756175277,1.2258866534570568e-34
