,Test,Stat,p-value
0,Ljung-Box,15.275418850601373,0.7604371070104015
1,ARCH,13.443519537132167,0.857554289411542
2,Shapiro-Wilk,0.9679310197886535,6.675600343859852e-07
3,Jarque-Bera,78.14372674231004,1.0747447695801099e-17
