,Adj Close,close,high,low,open,vol,pct_change,vwap
2003-12-31,,,,,,,,2812.26
2004-01-02,,,,,,,,2803.65
2004-01-05,,,,,,,,2826.73
2004-01-06,,,,,,,,2852.57
2004-01-07,,,,,,,,2865.27
2004-01-08,,,,,,,,2853.38
2004-01-09,,,,,,,,2850.74
2004-01-12,,,,,,,,2855.12
2004-01-13,,,,,,,,2854.09
2004-01-14,,,,,,,,2871.98
2004-01-15,,,,,,,,2872.39
2004-01-16,,,,,,,,2871.47
2004-01-20,,,,,,,,2880.23
2004-01-21,,,,,,,,2895.69
2004-01-22,,,,,,,,2933.26
2004-01-23,,,,,,,,2987.98
2004-01-26,,,,,,,,3001.96
2004-01-27,,,,,,,,3001.92
2004-01-28,,,,,,,,2974.47
2004-01-29,,,,,,,,2954.04
2004-01-30,,,,,,,,2952.84
2004-02-02,,,,,,,,2981.67
2004-02-03,,,,,,,,3006.55
2004-02-04,,,,,,,,3007.2
2004-02-05,,,,,,,,3004.16
2004-02-06,,,,,,,,3002.56
2004-02-09,,,,,,,,3014.21
2004-02-10,,,,,,,,3044.47
2004-02-11,,,,,,,,3074.08
2004-02-12,,,,,,,,3059.75
2004-02-13,,,,,,,,3061.53
2004-02-17,,,,,,,,3068.36
2004-02-18,,,,,,,,3084.56
2004-02-19,,,,,,,,3100.69
2004-02-20,,,,,,,,3120.58
2004-02-23,,,,,,,,3136.1
2004-02-24,,,,,,,,3165.35
2004-02-25,,,,,,,,3182.15
2004-02-26,,,,,,,,3170.27
2004-02-27,,,,,,,,3143.89
2004-03-01,,,,,,,,3143.42
2004-03-02,,,,,,,,3123.96
2004-03-03,,,,,,,,3053.28
2004-03-04,,,,,,,,3041.82
2004-03-05,,,,,,,,3107.67
2004-03-08,,,,,,,,3147.15
2004-03-09,,,,,,,,3149.9
2004-03-10,,,,,,,,3138.07
2004-03-11,,,,,,,,3085.15
2004-03-12,,,,,,,,3072.91
2004-03-15,,,,,,,,3061.91
2004-03-16,,,,,,,,3073.71
2004-03-17,,,,,,,,3059.45
2004-03-18,,,,,,,,3062.45
2004-03-19,,,,,,,,3085.4
2004-03-22,,,,,,,,3064.43
2004-03-23,,,,,,,,3045.22
2004-03-24,,,,,,,,3033.5
2004-03-25,,,,,,,,3039.19
2004-03-26,,,,,,,,3055.12
2004-03-29,,,,,,,,3067.43
2004-03-30,,,,,,,,3094.49
2004-03-31,,,,,,,,3125.34
2004-04-01,,,,,,,,3125.79
2004-04-02,,,,,,,,3145.16
2004-04-05,,,,,,,,3167.59
2004-04-06,,,,,,,,3162.32
2004-04-07,,,,,,,,3139.13
2004-04-08,,,,,,,,3159.19
2004-04-12,,,,,,,,3163.03
2004-04-13,,,,,,,,3151.66
2004-04-14,,,,,,,,3113.13
2004-04-15,,,,,,,,3117.08
2004-04-16,,,,,,,,3084.01
2004-04-19,,,,,,,,3072.71
2004-04-20,,,,,,,,3093.97
2004-04-21,,,,,,,,3074.5
2004-04-22,,,,,,,,3063.69
2004-04-23,,,,,,,,3098.11
2004-04-26,,,,,,,,3111.67
2004-04-27,,,,,,,,3110.35
2004-04-28,,,,,,,,3088.11
2004-04-29,,,,,,,,3109.63
2004-04-30,,,,,,,,3112.11
2004-05-03,,,,,,,,3106.29
2004-05-04,,,,,,,,3090.47
2004-05-05,,,,,,,,3087.49
2004-05-06,,,,,,,,3058.98
2004-05-07,,,,,,,,3058.19
2004-05-10,,,,,,,,2928.11
2004-05-11,,,,,,,,2935.59
2004-05-12,,,,,,,,2896.43
2004-05-13,,,,,,,,2867.82
2004-05-14,,,,,,,,2850.77
2004-05-17,,,,,,,,2880.93
2004-05-18,,,,,,,,2912.76
2004-05-19,,,,,,,,2973.49
2004-05-20,,,,,,,,2981.05
2004-05-21,,,,,,,,2978.6
2004-05-24,,,,,,,,2955.07
2004-05-25,,,,,,,,2907.01
2004-05-26,,,,,,,,2912.96
2004-05-27,,,,,,,,2956.25
2004-05-28,,,,,,,,2966.41
2004-06-01,,,,,,,,2989.51
2004-06-02,,,,,,,,3007.85
2004-06-03,,,,,,,,2963.93
2004-06-04,,,,,,,,2978.79
2004-06-07,,,,,,,,2990.57
2004-06-08,,,,,,,,2983.8
2004-06-09,,,,,,,,2983.89
2004-06-10,,,,,,,,2984.65
2004-06-14,,,,,,,,2968.45
2004-06-15,,,,,,,,2966.67
2004-06-16,,,,,,,,2963.04
2004-06-17,,,,,,,,2930.13
2004-06-18,,,,,,,,2915.21
2004-06-21,,,,,,,,2890.25
2004-06-22,,,,,,,,2887.95
2004-06-23,,,,,,,,2893.23
2004-06-24,,,,,,,,2901.44
2004-06-25,,,,,,,,2921.79
2004-06-28,,,,,,,,2918.56
2004-06-29,,,,,,,,2924.27
2004-06-30,,,,,,,,2951.71
2004-07-01,,,,,,,,2973.82
2004-07-02,,,,,,,,2995.25
2004-07-06,,,,,,,,2990.33
2004-07-07,,,,,,,,2999.36
2004-07-08,,,,,,,,3004.87
2004-07-09,,,,,,,,2997.57
2004-07-12,,,,,,,,2998.98
2004-07-13,,,,,,,,3017.1
2004-07-14,,,,,,,,3006.88
2004-07-15,,,,,,,,3005.35
2004-07-16,,,,,,,,3017.75
2004-07-19,,,,,,,,3014.88
2004-07-20,,,,,,,,3000.89
2004-07-21,,,,,,,,2987.54
2004-07-22,,,,,,,,2956.32
2004-07-23,,,,,,,,2947.31
2004-07-26,,,,,,,,2915.57
2004-07-27,,,,,,,,2926.62
2004-07-28,,,,,,,,2898.41
2004-07-29,,,,,,,,2907.68
2004-07-30,,,,,,,,2899.42
2004-08-02,,,,,,,,2878.44
2004-08-03,,,,,,,,2874.85
2004-08-04,,,,,,,,2854.71
2004-08-05,,,,,,,,2849.24
2004-08-06,,,,,,,,2850.05
2004-08-09,,,,,,,,2811.62
2004-08-10,,,,,,,,2812.55
2004-08-11,,,,,,,,2839.57
2004-08-12,,,,,,,,2837.2
2004-08-13,,,,,,,,2834.57
2004-08-16,,,,,,,,2839.01
2004-08-17,,,,,,,,2882.05
2004-08-18,,,,,,,,2882.69
2004-08-19,,,,,,,,2882.63
2004-08-20,,,,,,,,2891.65
2004-08-23,,,,,,,,2876.92
2004-08-24,,,,,,,,2849.51
2004-08-25,,,,,,,,2843.18
2004-08-26,,,,,,,,2864.93
2004-08-27,,,,,,,,2872.79
2004-08-30,,,,,,,,2865.13
2004-08-31,,,,,,,,2870.41
2004-09-01,,,,,,,,2882.97
2004-09-02,,,,,,,,2874.05
2004-09-03,,,,,,,,2871.01
2004-09-07,,,,,,,,2888.74
2004-09-08,,,,,,,,2903.46
2004-09-09,,,,,,,,2877.78
2004-09-10,,,,,,,,2872.07
2004-09-13,,,,,,,,2875.98
2004-09-14,,,,,,,,2874.63
2004-09-15,,,,,,,,2871.53
2004-09-16,,,,,,,,2872.24
2004-09-17,,,,,,,,2872.56
2004-09-20,,,,,,,,2871.05
2004-09-21,,,,,,,,2883.13
2004-09-22,,,,,,,,2895.36
2004-09-23,,,,,,,,2911.34
2004-09-24,,,,,,,,2902.17
2004-09-27,,,,,,,,2868.95
2004-09-28,,,,,,,,2873.13
2004-09-29,,,,,,,,2871.94
2004-09-30,,,,,,,,2871.01
2004-10-01,,,,,,,,2861.96
2004-10-04,,,,,,,,2846.52
2004-10-05,,,,,,,,2845.52
2004-10-06,,,,,,,,2845.91
2004-10-07,,,,,,,,2843.06
2004-10-08,,,,,,,,2842.7
2004-10-11,,,,,,,,2840.62
2004-10-12,,,,,,,,2841.41
2004-10-13,,,,,,,,2840.9
2004-10-14,,,,,,,,2821.95
2004-10-15,,,,,,,,2819.3
2004-10-18,,,,,,,,2831.29
2004-10-19,,,,,,,,2817.59
2004-10-20,,,,,,,,2801.74
2004-10-21,,,,,,,,2754.48
2004-10-22,,,,,,,,2720.21
2004-10-25,,,,,,,,2697.11
2004-10-26,,,,,,,,2765.1
2004-10-27,,,,,,,,2797.63
2004-10-28,,,,,,,,2798.98
2004-10-29,,,,,,,,2795.3
2004-11-01,,,,,,,,2809.82
2004-11-02,,,,,,,,2808.61
2004-11-03,,,,,,,,2796.76
2004-11-04,,,,,,,,2762.66
2004-11-05,,,,,,,,2770.12
2004-11-08,,,,,,,,2777.16
2004-11-09,,,,,,,,2821.58
2004-11-10,,,,,,,,2827.84
2004-11-11,,,,,,,,2824.51
2004-11-12,,,,,,,,2765.18
2004-11-15,,,,,,,,2763.05
2004-11-16,,,,,,,,2807.24
2004-11-17,,,,,,,,2857.46
2004-11-18,,,,,,,,2853.14
2004-11-19,,,,,,,,2823.82
2004-11-22,,,,,,,,2795.24
2004-11-23,,,,,,,,2782.32
2004-11-24,,,,,,,,2783.25
2004-11-26,,,,,,,,2805.44
2004-11-29,,,,,,,,2792.71
2004-11-30,,,,,,,,2785.73
2004-12-01,,,,,,,,2789.28
2004-12-02,,,,,,,,2801.01
2004-12-03,,,,,,,,2835.36
2004-12-06,,,,,,,,2807.31
2004-12-07,,,,,,,,2804.78
2004-12-08,,,,,,,,2807.09
2004-12-09,,,,,,,,2805.49
2004-12-10,,,,,,,,2786.23
2004-12-13,,,,,,,,2783.04
2004-12-14,,,,,,,,2791.66
2004-12-15,,,,,,,,2818.94
2004-12-16,,,,,,,,2853.32
2004-12-17,,,,,,,,2863.59
2004-12-20,,,,,,,,2863.14
2004-12-21,,,,,,,,2902.13
2004-12-22,,,,,,,,2962.88
2004-12-23,,,,,,,,2974.78
2004-12-27,,,,,,,,2942.77
2004-12-28,,,,,,,,2933.6
2004-12-29,,,,,,,,2972.98
2004-12-30,,,,,,,,2944.92
2004-12-31,,,,,,,,2946.41
2005-01-03,,,,,,,,2906.95
2005-01-04,,,,,,,,2869.22
2005-01-05,,,,,,,,2850.7
2005-01-06,,,,,,,,2867.15
2005-01-07,,,,,,,,2897.16
2005-01-10,,,,,,,,2896.76
2005-01-11,,,,,,,,2891.48
2005-01-12,,,,,,,,2873.41
2005-01-13,,,,,,,,2867.95
2005-01-14,,,,,,,,2870.75
2005-01-18,,,,,,,,2885.69
2005-01-19,,,,,,,,2898.82
2005-01-20,,,,,,,,2912.63
2005-01-21,,,,,,,,2985.3
2005-01-24,,,,,,,,2998.56
2005-01-25,,,,,,,,2985.49
2005-01-26,,,,,,,,2970.35
2005-01-27,,,,,,,,2950.6
2005-01-28,,,,,,,,2981.41
2005-01-31,,,,,,,,2988.56
2005-02-01,,,,,,,,3007.0
2005-02-02,,,,,,,,3012.18
2005-02-03,,,,,,,,3003.1
2005-02-04,,,,,,,,3009.09
2005-02-07,,,,,,,,3034.28
2005-02-08,,,,,,,,3030.04
2005-02-09,,,,,,,,3031.39
2005-02-10,,,,,,,,3031.56
2005-02-11,,,,,,,,3054.88
2005-02-14,,,,,,,,3051.4
2005-02-15,,,,,,,,3044.11
2005-02-16,,,,,,,,3012.66
2005-02-17,,,,,,,,3010.57
2005-02-18,,,,,,,,3002.64
2005-02-22,,,,,,,,3005.56
2005-02-23,,,,,,,,3023.17
2005-02-24,,,,,,,,3013.55
2005-02-25,,,,,,,,3007.39
2005-02-28,,,,,,,,3009.77
2005-03-01,,,,,,,,3024.82
2005-03-02,,,,,,,,3010.23
2005-03-03,,,,,,,,2987.89
2005-03-04,,,,,,,,2969.3
2005-03-07,,,,,,,,2994.48
2005-03-08,,,,,,,,3009.01
2005-03-09,,,,,,,,3021.18
2005-03-10,,,,,,,,3012.16
2005-03-11,,,,,,,,3006.03
2005-03-14,,,,,,,,3010.41
2005-03-15,,,,,,,,2996.64
2005-03-16,,,,,,,,2896.72
2005-03-17,,,,,,,,2931.17
2005-03-18,,,,,,,,2923.38
2005-03-21,,,,,,,,2922.79
2005-03-22,,,,,,,,2885.45
2005-03-23,,,,,,,,2863.59
2005-03-24,,,,,,,,2889.92
2005-03-28,,,,,,,,2873.48
2005-03-29,,,,,,,,2828.18
2005-03-30,,,,,,,,2887.97
2005-03-31,,,,,,,,2864.32
2005-04-01,,,,,,,,2830.36
2005-04-04,,,,,,,,2871.52
2005-04-05,,,,,,,,2915.64
2005-04-06,,,,,,,,2933.25
2005-04-07,,,,,,,,2917.78
2005-04-08,,,,,,,,2888.22
2005-04-11,,,,,,,,2908.93
2005-04-12,,,,,,,,2923.82
2005-04-13,,,,,,,,2895.42
2005-04-14,,,,,,,,2865.36
2005-04-15,,,,,,,,2864.91
2005-04-18,,,,,,,,2832.68
2005-04-19,,,,,,,,2826.24
2005-04-20,,,,,,,,2787.91
2005-04-21,,,,,,,,2795.33
2005-04-22,,,,,,,,2780.15
2005-04-25,,,,,,,,2760.92
2005-04-26,,,,,,,,2761.33
2005-04-27,,,,,,,,2745.69
2005-04-28,,,,,,,,2787.64
2005-04-29,,,,,,,,2811.29
2005-05-02,,,,,,,,2848.27
2005-05-03,,,,,,,,2821.42
2005-05-04,,,,,,,,2824.17
2005-05-05,,,,,,,,2823.95
2005-05-06,,,,,,,,2803.16
2005-05-09,,,,,,,,2789.63
2005-05-10,,,,,,,,2776.5
2005-05-11,,,,,,,,2771.09
2005-05-12,,,,,,,,2772.8
2005-05-13,,,,,,,,2770.34
2005-05-16,,,,,,,,2761.21
2005-05-17,,,,,,,,2755.59
2005-05-18,,,,,,,,2759.91
2005-05-19,,,,,,,,2784.13
2005-05-20,,,,,,,,2797.88
2005-05-23,,,,,,,,2796.9
2005-05-24,,,,,,,,2832.81
2005-05-25,,,,,,,,2846.42
2005-05-26,,,,,,,,2826.64
2005-05-27,,,,,,,,2828.01
2005-05-31,,,,,,,,2827.31
2005-06-01,,,,,,,,2816.66
2005-06-02,,,,,,,,2805.08
2005-06-03,,,,,,,,2793.28
2005-06-06,,,,,,,,2778.93
2005-06-07,,,,,,,,2779.77
2005-06-08,,,,,,,,2771.46
2005-06-09,,,,,,,,2774.6
2005-06-10,,,,,,,,2774.67
2005-06-13,,,,,,,,2796.36
2005-06-14,,,,,,,,2806.18
2005-06-15,,,,,,,,2796.42
2005-06-16,,,,,,,,2787.17
2005-06-17,,,,,,,,2770.38
2005-06-20,,,,,,,,2757.97
2005-06-21,,,,,,,,2785.01
2005-06-22,,,,,,,,2774.84
2005-06-23,,,,,,,,2790.45
2005-06-24,,,,,,,,2761.3
2005-06-27,,,,,,,,2769.62
2005-06-28,,,,,,,,2775.7
2005-06-29,,,,,,,,2776.89
2005-06-30,,,,,,,,2783.66
2005-07-01,,,,,,,,2790.74
2005-07-05,,,,,,,,2805.95
2005-07-06,,,,,,,,2830.58
2005-07-07,,,,,,,,2831.85
2005-07-08,,,,,,,,2830.61
2005-07-11,,,,,,,,2836.07
2005-07-12,,,,,,,,2816.67
2005-07-13,,,,,,,,2813.02
2005-07-14,,,,,,,,2791.82
2005-07-15,,,,,,,,2788.02
2005-07-18,,,,,,,,2791.1
2005-07-19,,,,,,,,2785.61
2005-07-20,,,,,,,,2787.0
2005-07-21,,,,,,,,2787.58
2005-07-22,,,,,,,,2793.93
2005-07-25,,,,,,,,2800.23
2005-07-26,,,,,,,,2796.86
2005-07-27,,,,,,,,2795.01
2005-07-28,,,,,,,,2787.92
2005-07-29,,,,,,,,2787.34
2005-08-01,,,,,,,,2792.91
2005-08-02,,,,,,,,2785.3
2005-08-03,,,,,,,,2781.31
2005-08-04,,,,,,,,2779.69
2005-08-05,,,,,,,,2783.69
2005-08-08,,,,,,,,2776.21
2005-08-09,,,,,,,,2769.26
2005-08-10,,,,,,,,2770.32
2005-08-11,,,,,,,,2769.01
2005-08-12,,,,,,,,2794.33
2005-08-15,,,,,,,,2791.17
2005-08-16,,,,,,,,2770.57
2005-08-17,,,,,,,,2769.97
2005-08-18,,,,,,,,2796.74
2005-08-19,,,,,,,,2829.74
2005-08-22,,,,,,,,2818.43
2005-08-23,,,,,,,,2823.19
2005-08-24,,,,,,,,2808.4
2005-08-25,,,,,,,,2797.23
2005-08-26,,,,,,,,2778.63
2005-08-29,,,,,,,,2765.81
2005-08-30,,,,,,,,2764.16
2005-08-31,,,,,,,,2756.06
2005-09-01,,,,,,,,2758.8
2005-09-02,,,,,,,,2755.76
2005-09-06,,,,,,,,2791.39
2005-09-07,,,,,,,,2791.45
2005-09-08,,,,,,,,2803.15
2005-09-09,,,,,,,,2798.78
2005-09-12,,,,,,,,2778.14
2005-09-13,,,,,,,,2758.21
2005-09-14,,,,,,,,2761.4
2005-09-15,,,,,,,,2749.1
2005-09-16,,,,,,,,2749.05
2005-09-19,,,,,,,,2726.63
2005-09-20,,,,,,,,2719.39
2005-09-21,,,,,,,,2696.4
2005-09-22,,,,,,,,2650.06
2005-09-23,,,,,,,,2731.49
2005-09-26,,,,,,,,2751.63
2005-09-27,,,,,,,,2744.21
2005-09-28,,,,,,,,2731.91
2005-09-29,,,,,,,,2710.94
2005-09-30,,,,,,,,2705.14
2005-10-03,,,,,,,,2736.05
2005-10-04,,,,,,,,2743.07
2005-10-05,,,,,,,,2757.97
2005-10-06,,,,,,,,2752.26
2005-10-07,,,,,,,,2752.02
2005-10-10,,,,,,,,2762.9
2005-10-11,,,,,,,,2778.22
2005-10-12,,,,,,,,2778.49
2005-10-13,,,,,,,,2777.93
2005-10-14,,,,,,,,2767.85
2005-10-17,,,,,,,,2785.45
2005-10-18,,,,,,,,2784.06
2005-10-19,,,,,,,,2778.68
2005-10-20,,,,,,,,2774.94
2005-10-21,,,,,,,,2787.99
2005-10-24,,,,,,,,2809.2
2005-10-25,,,,,,,,2812.71
2005-10-26,,,,,,,,2809.03
2005-10-27,,,,,,,,2791.41
2005-10-28,,,,,,,,2803.31
2005-10-31,,,,,,,,2805.43
2005-11-01,,,,,,,,2829.79
2005-11-02,,,,,,,,2847.15
2005-11-03,,,,,,,,2901.41
2005-11-04,,,,,,,,2911.11
2005-11-07,,,,,,,,2956.53
2005-11-08,,,,,,,,2984.03
2005-11-09,,,,,,,,2981.21
2005-11-10,,,,,,,,2973.65
2005-11-11,,,,,,,,2996.87
2005-11-14,,,,,,,,2977.44
2005-11-15,,,,,,,,2965.47
2005-11-16,,,,,,,,2927.36
2005-11-17,,,,,,,,2942.19
2005-11-18,,,,,,,,2964.0
2005-11-21,,,,,,,,2926.0
2005-11-22,,,,,,,,2885.55
2005-11-23,,,,,,,,2927.49
2005-11-25,,,,,,,,2907.86
2005-11-28,,,,,,,,2916.22
2005-11-29,,,,,,,,2925.39
2005-11-30,,,,,,,,2951.64
