,Adj Close,close,high,low,open,vol,pct_change,vwap
2003-12-31,,,,,,,,93.18
2004-01-02,,,,,,,,93.16
2004-01-05,,,,,,,,93.65
2004-01-06,,,,,,,,93.19
2004-01-07,,,,,,,,93.12
2004-01-08,,,,,,,,93.0
2004-01-09,,,,,,,,93.24
2004-01-12,,,,,,,,93.6
2004-01-13,,,,,,,,93.51
2004-01-14,,,,,,,,93.88
2004-01-15,,,,,,,,93.93
2004-01-16,,,,,,,,94.01
2004-01-20,,,,,,,,94.17
2004-01-21,,,,,,,,47.11
2004-01-22,,,,,,,,47.18
2004-01-23,,,,,,,,47.65
2004-01-26,,,,,,,,47.62
2004-01-27,,,,,,,,47.7
2004-01-28,,,,,,,,47.47
2004-01-29,,,,,,,,47.48
2004-01-30,,,,,,,,46.88
2004-02-02,,,,,,,,46.99
2004-02-03,,,,,,,,46.89
2004-02-04,,,,,,,,46.83
2004-02-05,,,,,,,,47.19
2004-02-06,,,,,,,,47.76
2004-02-09,,,,,,,,47.37
2004-02-10,,,,,,,,47.25
2004-02-11,,,,,,,,47.17
2004-02-12,,,,,,,,47.23
2004-02-13,,,,,,,,46.8
2004-02-17,,,,,,,,47.53
2004-02-18,,,,,,,,48.16
2004-02-19,,,,,,,,48.27
2004-02-20,,,,,,,,48.4
2004-02-23,,,,,,,,48.65
2004-02-24,,,,,,,,48.92
2004-02-25,,,,,,,,48.65
2004-02-26,,,,,,,,48.59
2004-02-27,,,,,,,,48.95
2004-03-01,,,,,,,,49.65
2004-03-02,,,,,,,,49.49
2004-03-03,,,,,,,,48.93
2004-03-04,,,,,,,,48.84
2004-03-05,,,,,,,,48.83
2004-03-08,,,,,,,,48.52
2004-03-09,,,,,,,,48.34
2004-03-10,,,,,,,,48.44
2004-03-11,,,,,,,,47.78
2004-03-12,,,,,,,,46.84
2004-03-15,,,,,,,,46.26
2004-03-16,,,,,,,,46.8
2004-03-17,,,,,,,,47.28
2004-03-18,,,,,,,,47.11
2004-03-19,,,,,,,,46.94
2004-03-22,,,,,,,,46.4
2004-03-23,,,,,,,,46.33
2004-03-24,,,,,,,,46.74
2004-03-25,,,,,,,,46.27
2004-03-26,,,,,,,,46.25
2004-03-29,,,,,,,,46.93
2004-03-30,,,,,,,,47.66
2004-03-31,,,,,,,,47.5
2004-04-01,,,,,,,,48.35
2004-04-02,,,,,,,,48.63
2004-04-05,,,,,,,,48.24
2004-04-06,,,,,,,,48.52
2004-04-07,,,,,,,,48.83
2004-04-08,,,,,,,,48.75
2004-04-12,,,,,,,,48.61
2004-04-13,,,,,,,,48.33
2004-04-14,,,,,,,,47.93
2004-04-15,,,,,,,,47.67
2004-04-16,,,,,,,,48.29
2004-04-19,,,,,,,,48.05
2004-04-20,,,,,,,,47.91
2004-04-21,,,,,,,,47.6
2004-04-22,,,,,,,,48.28
2004-04-23,,,,,,,,48.22
2004-04-26,,,,,,,,47.97
2004-04-27,,,,,,,,48.13
2004-04-28,,,,,,,,47.04
2004-04-29,,,,,,,,47.06
2004-04-30,,,,,,,,46.98
2004-05-03,,,,,,,,47.21
2004-05-04,,,,,,,,47.05
2004-05-05,,,,,,,,47.0
2004-05-06,,,,,,,,47.12
2004-05-07,,,,,,,,47.08
2004-05-10,,,,,,,,46.75
2004-05-11,,,,,,,,46.07
2004-05-12,,,,,,,,45.83
2004-05-13,,,,,,,,46.05
2004-05-14,,,,,,,,46.11
2004-05-17,,,,,,,,46.27
2004-05-18,,,,,,,,46.28
2004-05-19,,,,,,,,46.37
2004-05-20,,,,,,,,46.44
2004-05-21,,,,,,,,47.09
2004-05-24,,,,,,,,47.23
2004-05-25,,,,,,,,47.66
2004-05-26,,,,,,,,47.71
2004-05-27,,,,,,,,48.07
2004-05-28,,,,,,,,48.07
2004-06-01,,,,,,,,48.3
2004-06-02,,,,,,,,48.96
2004-06-03,,,,,,,,49.15
2004-06-04,,,,,,,,48.66
2004-06-07,,,,,,,,48.81
2004-06-08,,,,,,,,49.2
2004-06-09,,,,,,,,49.15
2004-06-10,,,,,,,,48.59
2004-06-14,,,,,,,,48.74
2004-06-15,,,,,,,,48.83
2004-06-16,,,,,,,,48.94
2004-06-17,,,,,,,,48.62
2004-06-18,,,,,,,,48.28
2004-06-21,,,,,,,,48.3
2004-06-22,,,,,,,,48.06
2004-06-23,,,,,,,,48.0
2004-06-24,,,,,,,,47.87
2004-06-25,,,,,,,,48.3
2004-06-28,,,,,,,,48.61
2004-06-29,,,,,,,,48.42
2004-06-30,,,,,,,,48.17
2004-07-01,,,,,,,,48.14
2004-07-02,,,,,,,,47.65
2004-07-06,,,,,,,,47.69
2004-07-07,,,,,,,,47.79
2004-07-08,,,,,,,,47.79
2004-07-09,,,,,,,,47.69
2004-07-12,,,,,,,,47.61
2004-07-13,,,,,,,,47.59
2004-07-14,,,,,,,,47.57
2004-07-15,,,,,,,,47.52
2004-07-16,,,,,,,,47.73
2004-07-19,,,,,,,,47.49
2004-07-20,,,,,,,,47.69
2004-07-21,,,,,,,,47.3
2004-07-22,,,,,,,,46.57
2004-07-23,,,,,,,,46.53
2004-07-26,,,,,,,,46.34
2004-07-27,,,,,,,,46.41
2004-07-28,,,,,,,,46.28
2004-07-29,,,,,,,,46.35
2004-07-30,,,,,,,,46.37
2004-08-02,,,,,,,,46.58
2004-08-03,,,,,,,,45.99
2004-08-04,,,,,,,,46.19
2004-08-05,,,,,,,,45.93
2004-08-06,,,,,,,,45.53
2004-08-09,,,,,,,,45.34
2004-08-10,,,,,,,,45.23
2004-08-11,,,,,,,,45.31
2004-08-12,,,,,,,,45.36
2004-08-13,,,,,,,,45.22
2004-08-16,,,,,,,,45.05
2004-08-17,,,,,,,,45.27
2004-08-18,,,,,,,,45.58
2004-08-19,,,,,,,,45.59
2004-08-20,,,,,,,,45.88
2004-08-23,,,,,,,,46.46
2004-08-24,,,,,,,,46.11
2004-08-25,,,,,,,,46.0
2004-08-26,,,,,,,,46.31
2004-08-27,,,,,,,,46.12
2004-08-30,,,,,,,,46.88
2004-08-31,,,,,,,,47.29
2004-09-01,,,,,,,,47.75
2004-09-02,,,,,,,,48.5
2004-09-03,,,,,,,,49.56
2004-09-07,,,,,,,,49.75
2004-09-08,,,,,,,,49.21
2004-09-09,,,,,,,,48.9
2004-09-10,,,,,,,,46.12
2004-09-13,,,,,,,,46.29
2004-09-14,,,,,,,,46.55
2004-09-15,,,,,,,,46.6
2004-09-16,,,,,,,,46.8
2004-09-17,,,,,,,,46.88
2004-09-20,,,,,,,,46.88
2004-09-21,,,,,,,,46.82
2004-09-22,,,,,,,,46.32
2004-09-23,,,,,,,,45.91
2004-09-24,,,,,,,,45.86
2004-09-27,,,,,,,,45.59
2004-09-28,,,,,,,,45.66
2004-09-29,,,,,,,,45.3
2004-09-30,,,,,,,,45.62
2004-10-01,,,,,,,,46.25
2004-10-04,,,,,,,,45.84
2004-10-05,,,,,,,,45.84
2004-10-06,,,,,,,,45.61
2004-10-07,,,,,,,,45.25
2004-10-08,,,,,,,,45.34
2004-10-11,,,,,,,,45.27
2004-10-12,,,,,,,,44.94
2004-10-13,,,,,,,,44.95
2004-10-14,,,,,,,,44.66
2004-10-15,,,,,,,,44.78
2004-10-18,,,,,,,,44.56
2004-10-19,,,,,,,,44.09
2004-10-20,,,,,,,,43.7
2004-10-21,,,,,,,,43.85
2004-10-22,,,,,,,,43.65
2004-10-25,,,,,,,,43.59
2004-10-26,,,,,,,,44.71
2004-10-27,,,,,,,,44.74
2004-10-28,,,,,,,,44.61
2004-10-29,,,,,,,,44.88
2004-11-01,,,,,,,,45.2
2004-11-02,,,,,,,,45.61
2004-11-03,,,,,,,,46.25
2004-11-04,,,,,,,,46.85
2004-11-05,,,,,,,,46.99
2004-11-08,,,,,,,,46.77
2004-11-09,,,,,,,,46.84
2004-11-10,,,,,,,,46.88
2004-11-11,,,,,,,,47.0
2004-11-12,,,,,,,,47.32
2004-11-15,,,,,,,,47.62
2004-11-16,,,,,,,,47.74
2004-11-17,,,,,,,,47.98
2004-11-18,,,,,,,,47.84
2004-11-19,,,,,,,,47.31
2004-11-22,,,,,,,,47.55
2004-11-23,,,,,,,,47.61
2004-11-24,,,,,,,,47.44
2004-11-26,,,,,,,,47.59
2004-11-29,,,,,,,,47.75
2004-11-30,,,,,,,,48.04
2004-12-01,,,,,,,,48.18
2004-12-02,,,,,,,,47.89
2004-12-03,,,,,,,,48.19
2004-12-06,,,,,,,,48.47
2004-12-07,,,,,,,,48.71
2004-12-08,,,,,,,,48.49
2004-12-09,,,,,,,,48.5
2004-12-10,,,,,,,,48.64
2004-12-13,,,,,,,,49.48
2004-12-14,,,,,,,,49.51
2004-12-15,,,,,,,,49.18
2004-12-16,,,,,,,,49.28
2004-12-17,,,,,,,,48.72
2004-12-20,,,,,,,,48.5
2004-12-21,,,,,,,,48.47
2004-12-22,,,,,,,,49.0
2004-12-23,,,,,,,,48.56
2004-12-27,,,,,,,,48.45
2004-12-28,,,,,,,,48.38
2004-12-29,,,,,,,,48.29
2004-12-30,,,,,,,,48.92
2004-12-31,,,,,,,,48.88
2005-01-03,,,,,,,,48.28
2005-01-04,,,,,,,,47.91
2005-01-05,,,,,,,,47.95
2005-01-06,,,,,,,,47.72
2005-01-07,,,,,,,,48.1
2005-01-10,,,,,,,,48.11
2005-01-11,,,,,,,,47.76
2005-01-12,,,,,,,,47.81
2005-01-13,,,,,,,,47.38
2005-01-14,,,,,,,,46.91
2005-01-18,,,,,,,,47.4
2005-01-19,,,,,,,,47.85
2005-01-20,,,,,,,,47.78
2005-01-21,,,,,,,,47.72
2005-01-24,,,,,,,,47.63
2005-01-25,,,,,,,,47.5
2005-01-26,,,,,,,,47.43
2005-01-27,,,,,,,,47.82
2005-01-28,,,,,,,,47.88
2005-01-31,,,,,,,,48.07
2005-02-01,,,,,,,,48.36
2005-02-02,,,,,,,,48.48
2005-02-03,,,,,,,,48.96
2005-02-04,,,,,,,,49.86
2005-02-07,,,,,,,,50.23
2005-02-08,,,,,,,,50.66
2005-02-09,,,,,,,,50.63
2005-02-10,,,,,,,,50.55
2005-02-11,,,,,,,,50.64
2005-02-14,,,,,,,,50.57
2005-02-15,,,,,,,,50.53
2005-02-16,,,,,,,,50.25
2005-02-17,,,,,,,,49.47
2005-02-18,,,,,,,,48.89
2005-02-22,,,,,,,,49.43
2005-02-23,,,,,,,,49.59
2005-02-24,,,,,,,,50.01
2005-02-25,,,,,,,,49.63
2005-02-28,,,,,,,,50.58
2005-03-01,,,,,,,,51.5
2005-03-02,,,,,,,,52.31
2005-03-03,,,,,,,,53.21
2005-03-04,,,,,,,,54.17
2005-03-07,,,,,,,,54.59
2005-03-08,,,,,,,,53.98
2005-03-09,,,,,,,,53.36
2005-03-10,,,,,,,,53.36
2005-03-11,,,,,,,,52.55
2005-03-14,,,,,,,,52.58
2005-03-15,,,,,,,,51.93
2005-03-16,,,,,,,,51.67
2005-03-17,,,,,,,,52.34
2005-03-18,,,,,,,,53.06
2005-03-21,,,,,,,,53.34
2005-03-22,,,,,,,,53.58
2005-03-23,,,,,,,,53.84
2005-03-24,,,,,,,,53.82
2005-03-28,,,,,,,,53.92
2005-03-29,,,,,,,,54.01
2005-03-30,,,,,,,,54.53
2005-03-31,,,,,,,,54.65
2005-04-01,,,,,,,,54.32
2005-04-04,,,,,,,,54.66
2005-04-05,,,,,,,,55.16
2005-04-06,,,,,,,,55.56
2005-04-07,,,,,,,,55.56
2005-04-08,,,,,,,,55.48
2005-04-11,,,,,,,,55.11
2005-04-12,,,,,,,,55.02
2005-04-13,,,,,,,,54.96
2005-04-14,,,,,,,,54.98
2005-04-15,,,,,,,,54.42
2005-04-18,,,,,,,,54.83
2005-04-19,,,,,,,,54.68
2005-04-20,,,,,,,,54.15
2005-04-21,,,,,,,,54.95
2005-04-22,,,,,,,,54.48
2005-04-25,,,,,,,,55.37
2005-04-26,,,,,,,,55.54
2005-04-27,,,,,,,,55.08
2005-04-28,,,,,,,,54.98
2005-04-29,,,,,,,,55.17
2005-05-02,,,,,,,,55.41
2005-05-03,,,,,,,,55.33
2005-05-04,,,,,,,,55.99
2005-05-05,,,,,,,,56.57
2005-05-06,,,,,,,,56.73
2005-05-09,,,,,,,,57.05
2005-05-10,,,,,,,,56.8
2005-05-11,,,,,,,,56.93
2005-05-12,,,,,,,,57.11
2005-05-13,,,,,,,,57.11
2005-05-16,,,,,,,,57.81
2005-05-17,,,,,,,,57.23
2005-05-18,,,,,,,,57.5
2005-05-19,,,,,,,,57.47
2005-05-20,,,,,,,,57.17
2005-05-23,,,,,,,,56.94
2005-05-24,,,,,,,,57.02
2005-05-25,,,,,,,,56.87
2005-05-26,,,,,,,,57.2
2005-05-27,,,,,,,,59.17
2005-05-31,,,,,,,,59.38
2005-06-01,,,,,,,,59.93
2005-06-02,,,,,,,,59.0
2005-06-03,,,,,,,,59.13
2005-06-06,,,,,,,,58.59
2005-06-07,,,,,,,,58.5
2005-06-08,,,,,,,,58.44
2005-06-09,,,,,,,,58.32
2005-06-10,,,,,,,,58.29
2005-06-13,,,,,,,,58.45
2005-06-14,,,,,,,,59.36
2005-06-15,,,,,,,,59.28
2005-06-16,,,,,,,,58.86
2005-06-17,,,,,,,,59.43
2005-06-20,,,,,,,,59.39
2005-06-21,,,,,,,,59.53
2005-06-22,,,,,,,,58.98
2005-06-23,,,,,,,,58.89
2005-06-24,,,,,,,,59.09
2005-06-27,,,,,,,,59.42
2005-06-28,,,,,,,,60.7
2005-06-29,,,,,,,,61.05
2005-06-30,,,,,,,,60.97
2005-07-01,,,,,,,,60.87
2005-07-05,,,,,,,,61.0
2005-07-06,,,,,,,,60.41
2005-07-07,,,,,,,,59.86
