,close,high,low,open,vol,pct_change,vwap
2003-12-31,28.4409122467041,28.4849564794436,28.193168687905928,28.23721292064543,5580900,,51.52
2004-01-02,28.4409122467041,28.677644747317395,28.297772690589937,28.440912246704098,6463600,0.0,51.8
2004-01-05,28.606094360351562,28.672160756670124,28.35284614156873,28.628116492457746,8433800,0.5807904901735439,51.84
2004-01-06,28.479467391967773,28.677662360734875,28.380369907584218,28.468456327020053,7298000,-0.44265731207017156,51.75
2004-01-07,28.490474700927734,28.50699024609906,28.3308174304528,28.435421483592883,7279200,0.03864998178675361,51.65
2004-01-08,28.622594833374023,28.622594833374023,28.352829127322178,28.490464220173255,6464900,0.4637344018770806,51.77
2004-01-09,28.297786712646484,28.573057003235867,28.292280130753134,28.573057003235867,6427300,-1.1347962077456808,51.58
2004-01-12,28.84284210205078,28.903401946915487,28.341849885643466,28.34735647162055,10459500,1.926141415012883,52.02
2004-01-13,28.76573371887207,29.041003898000035,28.650120747673082,28.848315612668383,7402800,-0.2673397541958167,52.41
2004-01-14,28.628116607666016,28.85383821229754,28.567556794203345,28.727214102396548,6410600,-0.47840640030596404,52.1
2004-01-15,28.54001808166504,29.04100982593604,28.440920628939324,28.666642137893398,7112400,-0.3077342712003106,51.88
2004-01-16,27.774770736694336,28.347333403847827,27.763759673847673,28.347333403847827,15364000,-2.6813134553068885,50.73
2004-01-20,28.35283851623535,28.60058218543545,27.967459708606928,27.967459708606928,14023400,2.081269310991307,51.53
2004-01-21,28.936418533325195,28.985967277908554,28.352844663804046,28.35834914647064,11084500,2.058277222422289,52.2
2004-01-22,29.20616912841797,29.294255512418797,28.96943657763856,28.985954218488438,8893500,0.9322183212898683,52.94
2004-01-23,29.178651809692383,29.48144871976382,29.04101665964666,29.343813569718098,9367400,-0.0942174874239532,53.07
2004-01-26,29.453922271728516,29.514482074104915,29.112587685779193,29.178651970123575,7999100,0.9433967814259869,53.31
2004-01-27,29.332796096801758,29.564024190433532,29.332796096801758,29.371333762382843,8900400,-0.4112395415771908,53.5
2004-01-28,29.266742706298828,29.519990917153546,29.239216092100886,29.3988733946534,8381300,-0.2251861373356534,53.36
2004-01-29,29.668642044067383,29.751224000418638,29.195176641299142,29.28876966517366,7692000,1.373228793520842,53.7
2004-01-30,29.409883499145508,29.685153852077143,29.37134581774677,29.630100621549268,6592900,-0.8721617407953408,53.51
2004-02-02,29.470436096191406,29.66863103779224,29.20617687410549,29.40437181570633,7009400,0.20589199902019129,53.51
2004-02-03,29.6411075592041,29.679645235235228,29.40437492064386,29.536505595711883,5047600,0.5791277144852058,53.67
2004-02-04,29.99344825744629,30.180632124367268,29.646607130474532,29.718177988453416,9436700,1.188689381928243,54.49
2004-02-05,30.004465103149414,30.19715348852413,29.927389748999527,30.03199171532496,7138300,0.036730840710830215,54.54
2004-02-06,29.811769485473633,30.087039740740625,29.76772523656113,29.998953343061004,6603100,-0.6422231391672306,54.28
2004-02-09,29.789749145507812,29.894351092722886,29.519983355122452,29.85581342268862,6071800,-0.07386458551730257,53.96
2004-02-10,29.965925216674805,30.08704482149208,29.76773026339044,29.789752391565532,5686200,0.5913983038476234,54.42
2004-02-11,30.0870361328125,30.19163806121814,29.729184003819583,29.88333465623739,7302400,0.40416211167175753,54.5
2004-02-12,30.192110061645508,30.35800246843366,30.031750636178312,30.131285236487376,5764400,0.3492332324433134,54.66
2004-02-13,29.98750877380371,30.335879836261448,29.91009345090407,30.203166347426816,4994700,-0.6776647522284684,54.37
2004-02-17,30.087047576904297,30.208701449590105,29.96539370421849,30.125755243775302,4818400,0.33193421918242816,54.41
2004-02-18,29.799516677856445,29.981997568181455,29.760808993740945,29.915639730202955,4725700,-0.9556633907428336,53.97
2004-02-19,29.622535705566406,29.94325859239837,29.617006946217884,29.860312436311933,8285800,-0.5939055126405801,53.7
2004-02-20,29.473243713378906,29.744199418747378,29.445595688604755,29.722080155164427,7212400,-0.5039811367648972,53.42
2004-02-23,29.33498764038086,29.578295206187057,29.19121671373836,29.578295206187057,7412800,-0.46909011557247915,53.02
2004-02-24,29.959869384765625,30.037284729988748,29.589378949099313,29.589378949099313,12268600,2.1301585398474376,54.1
2004-02-25,29.89349937438965,30.0372703596774,29.722078256684807,29.832672458126353,7286100,-0.22152970536555294,54.09
2004-02-26,29.843748092651367,30.02069806608209,29.683386520039132,29.683386520039132,4962700,-0.1664284301921004,54.02
2004-02-27,29.810558319091797,30.081514053718614,29.805029557303587,29.860325612822873,4967100,-0.1112118137994278,54.1
2004-03-01,29.727617263793945,30.131286554600347,29.589374991696037,30.131286554600347,6921500,-0.27822711138131284,53.79
2004-03-02,29.235477447509766,29.694442840046538,29.202300649578806,29.59490822743398,10710000,-1.6554970145002845,53.11
2004-03-03,29.429012298583984,29.528546892219172,29.141468151350043,29.141468151350043,6706500,0.6619862850596459,53.1
2004-03-04,29.32394027709961,29.429005718784573,29.218876944823606,29.334999908298496,3958000,-0.3570355009482662,53.0
2004-03-05,29.3792667388916,29.60045324774722,29.180197404333853,29.20784545426443,7141300,0.18867335449868072,53.19
2004-03-08,29.362668991088867,29.727628644772768,29.301844139983615,29.545149872636056,5588400,-0.0564947653399539,53.34
2004-03-09,29.124866485595703,29.334995226017142,29.058510818402638,29.329466466004646,6423800,-0.8098804150444727,52.8
2004-03-10,28.627195358276367,29.16357577545426,28.605076099763988,29.091689239993325,9345100,-1.7087499012758411,52.26
2004-03-11,28.262250900268555,28.920283366662474,28.20142396206052,28.56085471906635,9841900,-1.2748173666349172,51.8
2004-03-12,28.041051864624023,28.33412681029338,27.924928904152026,28.284359525889823,10039500,-0.7826660248155592,50.82
2004-03-15,27.963638305664062,28.25671116024464,27.808807682022852,28.041053617484664,7877500,-0.27607223628306476,50.67
2004-03-16,28.245664596557617,28.323079938413155,27.985768426548436,28.07424340429903,6583200,1.0085464838687663,50.94
2004-03-17,28.135055541992188,28.5553109378113,27.99128246042154,28.367301445348048,7599200,-0.39159657294418615,51.09
